N,Team,Season,GP,W,L,T,OT,P,ROW,P_Shr,GF,GA,S_O_Win,GF_GP,GA_GP,PP_Shr,PK_Shr,Shots_GP,SA_GP,FOW_Shr
71,Montréal Canadiens,1985-86,20,15,5,0,0,0,0,.000,56,41,0,2.80,2.05,18.3,87.8,27.6,25.3,--
72,Philadelphia Flyers,1986-87,26,15,11,0,0,0,0,.000,85,73,0,3.27,2.81,20.4,76.3,30.3,30.0,--
73,Buffalo Sabres,1998-99,21,14,7,0,0,0,0,.000,59,49,0,2.81,2.33,20.0,85.6,26.6,31.3,45.2
74,Minnesota North Stars,1990-91,23,14,9,0,0,0,0,.000,81,75,0,3.52,3.26,23.0,82.3,32.1,28.2,0.0
75,New Jersey Devils,2011-12,24,14,10,0,0,0,0,.000,59,58,0,2.46,2.42,15.3,73.2,28.4,27.0,47.2
76,Boston Bruins,2012-13,22,14,8,0,0,0,0,.000,65,47,0,2.95,2.14,17.5,88.7,35.5,34.6,55.3
77,Montréal Canadiens,1988-89,21,14,7,0,0,0,0,.000,67,51,0,3.19,2.43,16.5,89.8,27.6,27.7,0.0
78,Dallas Stars,1999-00,23,14,9,0,0,0,0,.000,52,46,0,2.26,2.00,16.1,88.2,25.6,28.7,53.8
79,Philadelphia Flyers,2009-10,23,14,9,0,0,0,0,.000,76,61,0,3.30,2.65,21.9,85.3,28.1,29.2,47.9
80,Pittsburgh Penguins,2007-08,20,14,6,0,0,0,0,.000,61,43,0,3.05,2.15,22.8,87.1,29.7,30.6,47.2
81,Tampa Bay Lightning,2014-15,26,14,12,0,0,0,0,.000,65,62,0,2.50,2.38,20.0,82.3,28.1,28.0,48.0
82,San Jose Sharks,2015-16,24,14,10,0,0,0,0,.000,75,56,0,3.13,2.33,24.0,79.7,26.8,28.9,47.1
83,Ottawa Senators,2006-07,20,13,7,0,0,0,0,.000,59,47,0,2.95,2.35,18.9,87.9,28.6,25.3,51.2
84,Boston Bruins,1989-90,21,13,8,0,0,0,0,.000,62,59,0,2.95,2.81,16.1,89.8,28.4,25.9,0.0
85,Carolina Hurricanes,2001-02,23,13,10,0,0,0,0,.000,47,43,0,2.04,1.87,15.5,84.4,28.0,28.8,53.9
86,Los Angeles Kings,1992-93,24,13,11,0,0,0,0,.000,93,91,0,3.88,3.79,16.5,79.4,31.5,33.9,0.0
87,New York Rangers,2013-14,25,13,12,0,0,0,0,.000,64,60,0,2.56,2.40,12.6,85.4,29.3,30.2,47.3
88,Philadelphia Flyers,1979-80,19,13,6,0,0,0,0,.000,78,53,0,4.11,2.79,21.1,80.3,34.6,30.4,--
89,Calgary Flames,1985-86,22,12,10,0,0,0,0,.000,81,69,0,3.68,3.14,24.0,85.4,31.2,28.7,--
90,Minnesota North Stars,1980-81,19,12,7,0,0,0,0,.000,84,74,0,4.42,3.89,25.3,73.9,34.8,32.8,--
91,Philadelphia Flyers,1984-85,19,12,7,0,0,0,0,.000,61,54,0,3.21,2.84,--,--,30.8,29.5,--
92,Montréal Canadiens,1976-77,14,12,2,0,0,0,0,.000,54,23,0,3.86,1.64,--,--,30.7,23.2,--
93,Philadelphia Flyers,1974-75,17,12,5,0,0,0,0,.000,53,34,0,3.12,2.00,--,--,28.9,25.5,--
94,Philadelphia Flyers,1973-74,17,12,5,0,0,0,0,.000,54,36,0,3.18,2.12,--,--,29.1,30.9,--
95,Boston Bruins,1969-70,14,12,2,0,0,0,0,.000,65,33,0,4.64,2.36,--,--,34.1,30.4,--
96,Philadelphia Flyers,1996-97,19,12,7,0,0,0,0,.000,67,55,0,3.53,2.89,19.1,78.6,35.4,26.7,0.0
97,Montréal Canadiens,1970-71,20,12,8,0,0,0,0,.000,75,63,0,3.75,3.15,--,--,32.1,35.5,--
98,Montréal Canadiens,1967-68,13,12,1,0,0,0,0,.000,48,25,0,3.69,1.92,--,--,36.3,27.5,--
99,Florida Panthers,1995-96,22,12,10,0,0,0,0,.000,61,57,0,2.77,2.59,12.8,80.6,32.2,34.8,0.0
100,Montréal Canadiens,1968-69,14,12,2,0,0,0,0,.000,43,26,0,3.07,1.86,--,--,31.1,30.7,--
101,Montréal Canadiens,1978-79,16,12,4,0,0,0,0,.000,63,41,0,3.94,2.56,29.4,82.0,32.3,25.9,--
102,Detroit Red Wings,1994-95,18,12,6,0,0,0,0,.000,61,44,0,3.39,2.44,24.7,82.0,32.4,22.0,0.0
103,Montréal Canadiens,1975-76,13,12,1,0,0,0,0,.000,44,26,0,3.38,2.00,--,--,30.8,27.0,--
